StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q5,python,Q3,Q7,Q6,Q10_1,Q10_2,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q8
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,To the summer school I'll bring a laptop running on ....,python (3),R/RStudio,Git (version control),I prefer...,I use... - venv,I use... - pip,Some topics - wordscore/wordfish/wordshoal,Some topics - POS tagger,Some topics - fact-checking,Some topics - sentiment analysis,Some topics - extreme bounds analysis,Some topics - probability calibration,"Some topics - clustering, e.g. cluster evaluation/centroid functions/distance measures",Some topics - parallel processing,Some topics - bagging/boosting,"Some topics - classification, e.g. KNN, SVM, RF, NB, NN, XGBoost",Any additional comments?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID7""}","{""ImportId"":""QID6""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID4_6""}","{""ImportId"":""QID4_7""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID4_9""}","{""ImportId"":""QID4_10""}","{""ImportId"":""QID8_TEXT""}"
2021-08-24 05:16:56,2021-08-24 05:18:58,IP Address,134.93.30.43,100,121,True,2021-08-24 05:18:58,R_xaS0MNTXOG5NzTb,,,,,49.9911956787109375,8.240997314453125,anonymous,EN,Windows,never used,never used,never used,,no,no,no clue,no clue,no clue,used it,no clue,no clue,no clue,no clue,no clue,no clue,
2021-08-24 05:17:19,2021-08-24 05:23:28,IP Address,134.100.35.1,100,369,True,2021-08-24 05:23:28,R_3PG3RccneF9ZpzI,,,,,53.565093994140625,9.973907470703125,anonymous,EN,Windows,used it a few times,used it a few times,never used,none of the above,no,yes,no clue,no clue,no clue,no clue,no clue,used it,no clue,used it,used it,no clue,
2021-08-24 05:18:29,2021-08-24 05:26:12,IP Address,95.223.73.234,100,463,True,2021-08-24 05:26:13,R_29b8uzcw9jHsH4c,,,,,50.0897979736328125,8.6808929443359375,anonymous,EN,MacOs,using it regularly,using it regularly,using it regularly,none of the above,yes,yes,no clue,no clue,no clue,used it,no clue,no clue,no clue,no clue,used it,used it,"python mostly for numerical analysis or programming experiments (django/otree); statistics/metrics in R; Sublime/RStudio/JupyterNB depending on application; conda /Venv depending on project. mostly Conda out of laziness. "
2021-08-24 05:18:37,2021-08-24 05:26:45,IP Address,134.28.46.146,100,487,True,2021-08-24 05:26:45,R_1gMBcsdJVDkyJZ8,,,,,53.33160400390625,9.8650054931640625,anonymous,EN,Windows,never used,used it a few times,used it a few times,none of the above,no,no,no clue,no clue,no clue,no clue,no clue,used it,used it,no clue,no clue,no clue,
2021-08-24 05:27:58,2021-08-24 05:29:15,IP Address,79.194.39.1,100,76,True,2021-08-24 05:29:15,R_3m1BTDGz50uRf37,,,,,50.210693359375,8.58050537109375,anonymous,EN,Windows,used it a few times,used it a few times,never used,none of the above,no,no,no clue,no clue,no clue,used it,no clue,no clue,used it,no clue,no clue,no clue,
2021-08-24 05:38:09,2021-08-24 05:39:20,IP Address,213.134.178.118,100,70,True,2021-08-24 05:39:20,R_3qlnVDLvtQbWIDT,,,,,52.2483978271484375,21.002593994140625,anonymous,EN,MacOs,used it a few times,used it a few times,never used,none of the above,no,no,no clue,no clue,no clue,no clue,no clue,no clue,used it,no clue,no clue,no clue,
2021-08-24 05:41:55,2021-08-24 05:43:17,IP Address,134.93.195.33,100,81,True,2021-08-24 05:43:18,R_3Jtm1s8rd2BVwCE,,,,,49.9792022705078125,8.250701904296875,anonymous,EN,Windows,never used,used it a few times,never used,Jupyter Notebook,,,no clue,no clue,no clue,no clue,no clue,no clue,no clue,no clue,no clue,no clue,
2021-08-24 05:42:32,2021-08-24 05:48:01,IP Address,139.11.226.129,100,329,True,2021-08-24 05:48:01,R_1Iz2RkR2KcoZZZU,,,,,53.576202392578125,10.119903564453125,anonymous,EN,Windows,never used,never used,never used,none of the above,no,no,no clue,no clue,no clue,used it,no clue,no clue,used it,no clue,no clue,no clue,
2021-08-24 06:05:12,2021-08-24 06:06:26,IP Address,80.167.249.22,100,74,True,2021-08-24 06:06:26,R_5tiFXpg6QY52upH,,,,,55.72479248046875,12.443206787109375,anonymous,EN,Windows,used it a few times,used it a few times,never used,none of the above,no,no,no clue,no clue,no clue,no clue,no clue,no clue,no clue,no clue,no clue,no clue,
2021-08-24 06:32:25,2021-08-24 06:33:54,IP Address,109.40.0.152,100,88,True,2021-08-24 06:33:54,R_tS7ruxgti4LNyRH,,,,,51.5464935302734375,7.368499755859375,anonymous,EN,Windows,using it regularly,used it a few times,using it regularly,IDE,no,yes,no clue,no clue,no clue,used it,no clue,no clue,used it,no clue,no clue,no clue,
2021-08-24 07:18:18,2021-08-24 07:19:52,IP Address,77.12.240.124,100,93,True,2021-08-24 07:19:52,R_2b2XttRqHmX7s8t,,,,,48.766998291015625,9.1826934814453125,anonymous,EN,Windows,used it a few times,using it regularly,used it a few times,none of the above,no,yes,no clue,no clue,no clue,used it,no clue,no clue,used it,no clue,no clue,used it,
2021-08-24 07:19:42,2021-08-24 07:20:51,IP Address,46.114.7.163,100,68,True,2021-08-24 07:20:51,R_1gT2gNZps01x1kC,,,,,50.0894012451171875,8.7494049072265625,anonymous,EN,Windows,never used,never used,never used,Jupyter Notebook,no,no,no clue,no clue,,no clue,no clue,no clue,no clue,no clue,no clue,no clue,
2021-08-24 07:49:15,2021-08-24 07:50:13,IP Address,95.91.246.8,100,57,True,2021-08-24 07:50:13,R_3lxDfIr6FBEIINY,,,,,52.5352935791015625,13.42449951171875,anonymous,EN,MacOs,used it a few times,used it a few times,used it a few times,none of the above,no,no,no clue,no clue,no clue,no clue,no clue,no clue,no clue,no clue,no clue,no clue,
2021-08-24 08:54:00,2021-08-24 08:55:35,IP Address,134.95.117.136,100,94,True,2021-08-24 08:55:36,R_2TWQkmZctywZZgG,,,,,50.957794189453125,7.11279296875,anonymous,EN,Windows,never used,using it regularly,never used,none of the above,no,no,no clue,no clue,used it,no clue,no clue,no clue,no clue,no clue,no clue,no clue,
2021-08-24 09:48:22,2021-08-24 09:49:54,IP Address,134.93.85.1,100,92,True,2021-08-24 09:49:54,R_3DpB0aYeDg8ABCd,,,,,50.0048980712890625,8.20550537109375,anonymous,EN,Windows,never used,used it a few times,used it a few times,none of the above,no,no,no clue,no clue,no clue,no clue,no clue,no clue,used it,no clue,no clue,no clue,
2021-08-24 14:36:35,2021-08-24 14:37:55,IP Address,134.155.184.124,100,80,True,2021-08-24 14:37:55,R_1kYr4FUDPwjaXIf,,,,,49.4922027587890625,8.4640045166015625,anonymous,EN,Windows,using it regularly,used it a few times,never used,IDE,no,yes,no clue,no clue,no clue,used it,no clue,no clue,no clue,no clue,used it,no clue,
2021-08-24 14:50:11,2021-08-24 14:52:59,IP Address,217.149.162.50,100,167,True,2021-08-24 14:52:59,R_3LbrOOoqOgKEyhm,,,,,47.8007965087890625,13.0442962646484375,anonymous,EN,Windows,never used,using it regularly,never used,,no,no,no clue,no clue,no clue,no clue,no clue,no clue,used it,no clue,no clue,no clue,
2021-08-25 02:07:04,2021-08-25 02:08:06,IP Address,134.93.245.0,100,62,True,2021-08-25 02:08:07,R_1dKUBxSv1TDc0r7,,,,,50.0050048828125,8.2693023681640625,anonymous,EN,Windows,used it a few times,using it regularly,never used,none of the above,no,no,used it,no clue,no clue,used it,no clue,no clue,used it,no clue,no clue,no clue,
2021-08-25 09:07:22,2021-08-25 09:56:05,IP Address,84.170.153.108,100,2923,True,2021-08-25 09:56:06,R_2rTOXQaplNaJ8Pn,,,,,52.5032958984375,13.2436065673828125,anonymous,EN,Windows,used it a few times,using it regularly,never used,none of the above,no,no,no clue,no clue,no clue,no clue,no clue,no clue,no clue,no clue,no clue,no clue,
2021-08-25 11:48:04,2021-08-25 11:49:16,IP Address,89.204.135.66,100,71,True,2021-08-25 11:49:16,R_2ALR2y1BKHzhTp5,,,,,50.1490020751953125,8.82769775390625,anonymous,EN,MacOs,using it regularly,never used,used it a few times,none of the above,yes,yes,no clue,no clue,no clue,no clue,no clue,no clue,no clue,no clue,no clue,no clue,
2021-08-26 02:08:04,2021-08-26 02:11:31,IP Address,89.15.237.145,100,206,True,2021-08-26 02:11:31,R_zVitvBt6eW35yUh,,,,,53.5843963623046875,10.0287933349609375,anonymous,EN,Windows,used it a few times,using it regularly,never used,none of the above,no,no,no clue,no clue,no clue,no clue,no clue,no clue,no clue,no clue,no clue,no clue,
2021-08-26 04:08:35,2021-08-26 04:09:43,IP Address,87.123.199.220,100,68,True,2021-08-26 04:09:44,R_1IbILzytPzBr5Mq,,,,,50.1287994384765625,8.703399658203125,anonymous,EN,Windows,used it a few times,using it regularly,used it a few times,Jupyter Notebook,no,no,no clue,no clue,no clue,no clue,no clue,no clue,used it,no clue,no clue,no clue,
2021-08-26 04:16:02,2021-08-26 04:19:47,IP Address,95.90.207.234,100,225,True,2021-08-26 04:19:48,R_wT68QiC4JcTdZMl,,,,,50.2989044189453125,7.6215972900390625,anonymous,EN,MacOs,never used,used it a few times,never used,Jupyter Notebook,,,no clue,no clue,no clue,no clue,no clue,no clue,no clue,no clue,no clue,no clue,
2021-08-23 10:40:37,2021-08-23 10:40:45,IP Address,194.230.155.195,10,8,False,2021-08-30 10:40:46,R_O8dYt3vlT8NHN73,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,
2021-08-23 22:57:09,2021-08-24 01:31:31,IP Address,88.73.186.133,90,9261,False,2021-08-31 01:31:32,R_2f24kjWbcXyF3gx,,,,,,,anonymous,EN,MacOs,using it regularly,using it regularly,using it regularly,IDE,no,yes,no clue,no clue,no clue,used it,no clue,no clue,used it,pro,used it,used it,
2021-08-24 05:17:46,2021-08-24 05:18:23,IP Address,95.91.246.8,70,37,False,2021-08-31 05:18:24,R_1jiImKXlEZ2PJqG,,,,,,,anonymous,EN,MacOs,used it a few times,used it a few times,using it regularly,none of the above,,,,,,,,,,,,,
2021-08-24 06:16:31,2021-08-24 06:17:18,IP Address,89.144.193.24,90,47,False,2021-08-31 06:17:18,R_CfvmkLJ45IUmTgB,,,,,,,anonymous,EN,MacOs,never used,never used,never used,none of the above,no,no,,,,,,,,,,,
2021-08-26 01:48:03,2021-08-26 01:53:50,IP Address,95.223.73.234,70,347,False,2021-09-02 01:53:53,R_3GprF7C3ry9LZg9,,,,,,,anonymous,EN,MacOs,using it regularly,using it regularly,using it regularly,IDE,yes,yes,,,,,,,,,,,
2021-08-30 23:07:35,2021-08-30 23:08:40,IP Address,37.201.227.139,70,65,False,2021-09-06 23:08:41,R_08r7jUJ9I8QjU1H,,,,,,,anonymous,EN,Linux,using it regularly,used it a few times,used it a few times,Jupyter Notebook,yes,yes,,,,,,,,,,,
2021-08-31 09:25:15,2021-08-31 09:26:57,IP Address,87.134.49.20,90,102,False,2021-09-07 09:26:59,R_1dn4g9f6CvZAoGW,,,,,,,anonymous,EN,Windows,never used,never used,never used,,no,no,,,,used it,,,,,,,
